City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,kununurra,-15.7667,128.7333,37.99,34,82,2.57,AU,1729306670
82,aleg,17.0481,-13.9209,32.02,33,32,3.17,MR,1729306671
83,teknaf,20.8624,92.3058,28.82,70,86,2.91,BD,1729306672
84,kingston,17.997,-76.7936,29.53,74,20,1.03,JM,1729306127
85,carnarvon,-24.8667,113.6333,24.6,55,67,5.95,AU,1729306676
86,namasuba,0.6894,32.4214,16.49,99,88,0.2,UG,1729306677
87,kapa'a,22.0752,-159.319,27.18,92,100,3.09,US,1729306678
88,crane,31.3974,-102.3501,18.67,78,98,12.19,US,1729306680
89,terbanggi besar,-4.8667,105.2333,31.59,51,31,2.41,ID,1729306681
90,tolanaro,-25.0319,46.9987,21.04,83,20,6.17,MG,1729306682
91,east london,-33.0153,27.9116,15.91,89,88,2.04,ZA,1729306683
92,georgetown,5.4112,100.3354,29.97,76,20,1.54,MY,1729306406
93,kiwira,-9.1667,33.5333,18.36,84,56,0.54,TZ,1729306687
94,dudinka,69.4058,86.1778,-6.86,97,96,1.76,RU,1729306688
95,manokwari,-0.8667,134.0833,29.17,66,89,2.53,ID,1729306577
96,solnechnyy,50.7214,136.6319,-2.9,80,100,7.03,RU,1729306690
97,yarmouth,41.7057,-70.2286,11.65,76,0,4.02,US,1729306691
98,badger,64.8,-147.5333,-7.86,89,75,2.06,US,1729306692
99,betio village,1.358,172.9211,31.02,74,6,3.45,KI,1729306694
100,plasencia,40.0312,-6.0885,12.91,93,100,1.85,ES,1729306695
101,lebu,-37.6167,-73.65,9.9,96,90,2.61,CL,1729306696
102,latimer,30.5346,-88.8667,15.94,72,0,1.54,US,1729306697
103,al kharijah,25.4514,30.5464,19.98,52,0,2.69,EG,1729306698
104,lugovoye,42.9094,72.7178,8.83,41,86,1.42,KZ,1729306700
105,teguise,29.0605,-13.564,17.12,82,1,3.09,ES,1729306701
106,la rioja,42.25,-2.5,7.88,78,100,1.19,ES,1729306449
107,fale old settlement,-9.3852,-171.2468,28.48,73,58,6.72,TK,1729306703
108,alotau,-10.3069,150.4462,29.44,66,87,3.48,PG,1729306704
109,saldanha,-33.0117,17.9442,10.03,79,54,9.07,ZA,1729306706
110,iskateley,67.6803,53.1512,6.39,94,100,6.74,RU,1729306707
111,zhalantun,48.0,122.7167,1.33,15,0,7.7,CN,1729306708
112,ban nong wua so,17.2675,103.2247,28.68,71,98,2.0,TH,1729306709
113,ciro marina,39.3732,17.126,20.58,88,100,7.82,IT,1729306710
114,arraial do cabo,-22.9661,-42.0278,22.19,84,99,1.88,BR,1729306712
115,misratah,32.3754,15.0925,23.71,77,100,6.36,LY,1729306713
116,conception bay south,47.4999,-52.9981,5.97,73,56,7.51,CA,1729306714
117,hadibu,12.65,54.0333,26.09,79,88,1.5,YE,1729306715
118,nicoya,10.1483,-85.452,24.26,96,100,0.31,CR,1729306716
119,kolonia,50.9333,6.95,15.07,92,100,1.54,DE,1729306546
120,herval,-32.0236,-53.3956,12.29,99,24,1.74,BR,1729306719
121,prince rupert,54.3161,-130.3201,8.83,99,100,8.75,CA,1729306720
122,los palacios y villafranca,37.1618,-5.9243,18.35,89,88,1.31,ES,1729306721
123,chul'man,56.8479,124.9104,-9.73,76,96,3.57,RU,1729306695
124,kolwezi,-10.7148,25.4667,16.75,89,8,0.6,CD,1729306723
125,khorixas,-20.3667,14.9667,17.33,30,0,0.59,NA,1729306725
126,gadzhiyevo,69.2551,33.3362,6.5,86,53,5.63,RU,1729306726
127,aban,56.67,96.06,-0.67,69,100,3.36,RU,1729306727
128,yemetsk,63.4721,41.7941,5.87,86,100,3.14,RU,1729306728
129,puerto ayora,-0.7393,-90.3518,20.86,94,84,3.58,EC,1729306729
130,kodiak,57.79,-152.4072,2.73,48,0,7.2,US,1729306731
131,rio verde,21.9333,-99.9833,16.96,92,8,0.99,MX,1729306732
